14 06 2017, 0.00, 15.85
15 06 2017, 0.00, 20.00
16 06 2017, 239.64, 31.96
17 06 2017, 27.99, 18.02
18 06 2017, 65.49, 26.49
19 06 2017, 0.00, 23.06
20 06 2017, 15.27, 22.10
21 06 2017, 1096.49, 32.34
22 06 2017, 987.23, 32.46
23 06 2017, 1482.22, 30.84
24 06 2017, 0.00, 14.23
25 06 2017, 52.22, 28.47
26 06 2017, 153.43, 27.56
27 06 2017, 258.70, 28.63
28 06 2017, 1186.38, 35.06
29 06 2017, 1030.33, 32.68
30 06 2017, 24.15, 19.81
01 07 2017, 14.51, 22.51
02 07 2017, 55.58, 24.31
03 07 2017, 20.46, 21.05
04 07 2017, 24.31, 24.25
05 07 2017, 0.00, 26.13
06 07 2017, 37.41, 26.34
07 07 2017, 0.00, 33.58
08 07 2017, 164.69, 27.94
09 07 2017, 988.00, 30.99
10 07 2017, 979.12, 38.94
11 07 2017, 249.55, 32.80
12 07 2017, 168.33, 31.59
13 07 2017, 0.00, 12.26
14 07 2017, 21.45, 18.83
15 07 2017, 489.05, 22.29
16 07 2017, 51.17, 19.83
17 07 2017, 0.00, 18.35
18 07 2017, 0.00, 24.15
19 07 2017, 0.00, 28.40
20 07 2017, 59.37, 30.51
21 07 2017, 471.23, 34.33
22 07 2017, 7.43, 35.28
23 07 2017, 1737.09, 44.80
24 07 2017, 869.27, 39.01
25 07 2017, 8.99, 25.53
26 07 2017, 172.54, 26.49
27 07 2017, 59.21, 28.74
28 07 2017, 78.48, 29.55
29 07 2017, 0.00, 26.28
30 07 2017, 0.00, 29.78
31 07 2017, 18.65, 35.31
01 08 2017, 0.00, 31.95
02 08 2017, 0.00, 35.70
03 08 2017, 0.00, 28.88
04 08 2017, 155.13, 36.51
05 08 2017, 75.90, 42.53
06 08 2017, 504.83, 39.95
07 08 2017, 0.00, 29.92
08 08 2017, 0.00, 22.27
09 08 2017, 2027.76, 36.57
10 08 2017, 1451.65, 32.16
11 08 2017, 777.79, 27.25
12 08 2017, 0.00, 21.59
13 08 2017, 0.00, 31.81
14 08 2017, 6.15, 21.49
15 08 2017, 0.00, 17.69
16 08 2017, 9.09, 24.51
17 08 2017, 31.31, 30.37
