12843 Budapest Observations at 00Z 22 Jun 2017


   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
   43.0  21844  -53.4  -86.0      1   0.01     75     10  539.9  539.9  539.9
   42.0  21996  -53.3  -86.0      1   0.01     90     10  543.9  544.0  543.9
   38.0  22643  -52.6  -85.6      1   0.01     45     10  561.5  561.6  561.5
   37.0  22815  -52.4  -85.6      1   0.01     75     10  566.3  566.3  566.3
   35.0  23174  -52.0  -85.4      1   0.01    215      2  576.4  576.4  576.4
   34.0  23361  -51.8  -85.3      1   0.01    355     10  581.7  581.8  581.7
   33.0  23554  -51.6  -85.2      1   0.01     45     16  587.2  587.3  587.2
   32.0  23753  -51.4  -85.1      1   0.01     55     17  593.0  593.1  593.0
   31.0  23958  -51.1  -85.0      1   0.01     60     12  599.0  599.1  599.0
   30.0  24170  -50.9  -84.9      1   0.01     85     17  605.3  605.4  605.3
   28.0  24617  -51.3  -84.6      1   0.01    120     17  616.2  616.3  616.2
   27.1  24829  -51.5  -84.5      1   0.01    111     17  621.4  621.5  621.4
   27.0  24853  -51.4  -84.4      1   0.01    110     17  622.4  622.5  622.4
   26.0  25100  -50.1  -83.7      1   0.01    140     10  632.7  632.8  632.7
   25.0  25357  -48.9  -83.0      1   0.02    135     10  643.5  643.6  643.5
   24.0  25624  -47.5  -82.2      1   0.02     85      4  654.9  655.1  654.9
   23.4  25790  -46.7  -81.7      1   0.02     55     11  662.1  662.3  662.1
   23.0  25904  -46.6  -81.6      1   0.02     35     16  665.6  665.8  665.6
   22.0  26198  -46.4  -81.4      1   0.02     80     21  674.8  675.0  674.8
   21.0  26507  -46.1  -81.2      1   0.03     90     17  684.5  684.8  684.5
   20.0  26830  -45.9  -80.9      1   0.03     75     21  694.9  695.2  694.9
   18.3  27418  -47.7  -82.7      1   0.02     88     18  707.1  707.4  707.1
   18.0  27528  -47.5  -82.5      1   0.02     90     17  711.0  711.3  711.0
   17.0  27907  -46.9  -81.9      1   0.03    100     12  724.6  724.9  724.6
   16.0  28309  -46.3  -81.3      1   0.03    115     14  739.3  739.7  739.4
   15.1  28692  -45.7  -80.7      1   0.04     88     12  753.7  754.1  753.7
   15.0  28737  -45.5  -80.5      1   0.04     85     12  755.9  756.4  755.9
   14.0  29204  -42.9  -78.7      1   0.06     80     14  779.5  780.2  779.5
   13.0  29705  -40.2  -76.8      1   0.09     50     14  805.5  806.5  805.6
   12.4  30025  -38.5  -75.5      1   0.11     65     19  822.5  823.9  822.6
   12.0  30249  -39.0  -76.0      1   0.11     75     23  828.6  829.9  828.7
   11.4  30601  -39.7  -76.7      1   0.10    102     27  838.2  839.5  838.3
   11.0  30846  -39.1  -76.4      1   0.11    120     29  849.0  850.3  849.1
   10.0  31500  -37.5  -75.5      1   0.14    105     12  878.4  880.1  878.5
   


