12843 Budapest Observations at 00Z 22 Dec 2017


   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
   53.5  19774  -69.3  -88.3      5   0.00    302     39  470.6  470.6  470.6
   51.0  20061  -68.7  -88.4      4   0.00    285     29  478.4  478.4  478.4
   50.0  20180  -68.5  -88.5      4   0.00    280     33  481.6  481.7  481.6
   43.0  21087  -67.2  -89.1      3   0.00    295     41  506.1  506.1  506.1
   42.5  21157  -67.1  -89.1      3   0.00    293     41  508.0  508.0  508.0
   35.5  22242  -67.5  -90.5      3   0.00    270     41  533.8  533.8  533.8
   33.0  22676  -70.4  -91.3      3   0.00    260     41  537.4  537.4  537.4
   31.0  23047  -72.8  -92.0      4   0.00    280     41  540.4  540.4  540.4
   30.8  23086  -73.1  -92.1      4   0.00    280     41  540.7  540.8  540.7
   30.0  23240  -72.7  -92.7      4   0.00    280     37  545.9  545.9  545.9
   28.9  23460  -70.9  -92.9      3   0.00    276     40  556.7  556.7  556.7
   26.0  24078  -72.1  -93.5      3   0.00    265     49  570.4  570.4  570.4
   22.0  25054  -74.0  -94.5      3   0.00    280     56  592.5  592.5  592.5
   20.4  25495  -74.9  -94.9      3   0.00    272     61  602.8  602.8  602.8
   20.0  25610  -73.7  -94.7      3   0.00    270     62  609.9  609.9  609.9
   19.0  25913  -68.5  -93.5      2   0.00    270     70  635.0  635.1  635.0
   16.0  26934  -70.4  -94.3      2   0.00    280     62  660.9  660.9  660.9
   14.0  27728  -71.8  -94.9      2   0.00    260     72  681.7  681.7  681.7
